FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,46.22,38.348
31.25,41.52,34.696
46.875,39.778,33.016
62.5,32.578,25.029
78.125,28.179,23.169
93.75,24.507,21.642
109.38,25.417,19.107
125,24.506,23.081
140.63,24.105,19.367
156.25,24.021,19.9
171.88,24.429,18.473
187.5,23.225,15.731
203.13,22.156,13.894
218.75,20.38,15.107
234.38,21.158,16.752
250,18.06,17.063
265.63,18.527,18.227
281.25,20.238,17.152
296.88,19.061,18.649
312.5,18.073,17.671
328.13,18.178,16.899
343.75,18.074,17.256
359.38,35.657,34.405
375,37.853,36.212
390.63,28.241,23.795
406.25,21.447,20.073
421.88,20.467,17.269
437.5,19.063,17.388
453.13,18.172,18.225
468.75,16.3,17.484
484.38,18.033,19.32
500,19.83,17.942
515.63,19.657,17.554
531.25,19.462,16.727
546.88,19.098,17.435
562.5,17.724,15.699
578.13,19.215,16.158
593.75,16.701,15.516
609.38,15.752,18.996
625,18.562,18.755
640.63,17.57,15.807
656.25,17.023,16.516
671.88,14.06,18.142
687.5,16.666,17.803
703.13,17.684,16.009
718.75,15.638,19.169
734.38,16.095,20.492
750,16.738,18.092
765.63,16.288,16.975
781.25,14.419,14.753
796.88,15.52,15
812.5,17.945,18.39
828.13,16.335,19.191
843.75,17.197,16.495
859.38,16.812,16.72
875,17.199,19.003
890.63,16.676,19.309
906.25,17.294,17.57
921.88,14.973,16.184
937.5,14.576,16.111
953.13,16.767,17.578
968.75,17.013,16.681
984.38,16.42,14.122
1000,20.284,20.074
1015.6,15.46,16.338
1031.3,15.335,16.553
1046.9,15.327,17.338
1062.5,17.173,18.622
1078.1,16.814,15.943
1093.8,27.515,28.399
1109.4,31.381,32.434
1125,22.293,22.421
1140.6,17.991,18.969
1156.3,14.023,17.048
1171.9,15.483,16.635
1187.5,16.36,16.874
1203.1,15.645,17.565
1218.8,16.717,17.26
1234.4,15.319,13.212
1250,16.257,17.029
1265.6,18.29,18.633
1281.3,17.148,16.192
1296.9,16.883,16.518
1312.5,17.749,17.774
1328.1,18.138,13.557
1343.8,17.143,16.495
1359.4,12.168,17.459
1375,12.96,16.618
1390.6,14.623,15.742
1406.3,17.664,14.877
1421.9,14.989,14.951
1437.5,16.339,15.752
1453.1,12.874,13.744
1468.8,14.239,16.92
1484.4,15.706,17.644
1500,16.357,16.526
1515.6,17.879,16.256
