FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,45.622,38.042
31.25,42.499,37.338
46.875,38.679,33.826
62.5,31.534,25.362
78.125,29.911,25.858
93.75,27.932,25.363
109.38,27.505,24.451
125,25.744,22.322
140.63,23.884,16.941
156.25,23.171,15.75
171.88,23.749,19.727
187.5,23.234,21.198
203.13,21.775,16.51
218.75,21.314,16.555
234.38,21.767,17.464
250,20.334,16.382
265.63,19.784,17.173
281.25,17.969,20.562
296.88,18.814,18.211
312.5,20.392,19.259
328.13,22.166,19.975
343.75,25.616,20.4
359.38,39.892,38.299
375,41.155,39.945
390.63,27.146,25.978
406.25,22.236,16.706
421.88,21.876,16.359
437.5,18.701,17.539
453.13,18.025,17.004
468.75,20.889,14.574
484.38,19.373,15.953
500,19.267,18.806
515.63,19.176,19.364
531.25,18.587,18.626
546.88,17.464,18
562.5,15.629,16.967
578.13,19.461,19.549
593.75,21.372,21.405
609.38,18.359,18.636
625,15.036,17.342
640.63,15.047,17.718
656.25,15.701,16.347
671.88,19.001,19.638
687.5,20.382,17.534
703.13,18.736,16.109
718.75,18.26,17.727
734.38,19.244,17.213
750,19.37,16.444
765.63,18.434,16.579
781.25,19.943,15.848
796.88,21.732,18.713
812.5,24.463,19.942
828.13,24.551,19.674
843.75,22.863,20.608
859.38,20.239,19.924
875,16.49,17.961
890.63,18.8,20.605
906.25,20.79,18.849
921.88,19.723,16.359
937.5,18.251,19.003
953.13,17.129,18.304
968.75,15.005,15.805
984.38,20.162,19.863
1000,22.115,23.537
1015.6,21.007,21.817
1031.3,19.617,20.749
1046.9,18.762,21.735
1062.5,20.214,20.338
1078.1,20.654,20.548
1093.8,24.618,26.548
1109.4,29.215,30.592
1125,22.842,22.164
1140.6,16.749,19.874
1156.3,17.484,21.434
1171.9,15.82,19.111
1187.5,17.308,17.856
1203.1,16.07,18.623
1218.8,15.261,20.626
1234.4,19.215,21.777
1250,21.148,18.719
1265.6,20.877,17.903
1281.3,20.252,19.628
1296.9,19.989,19.597
1312.5,17.391,20.321
1328.1,18.412,18.637
1343.8,18.58,15.877
1359.4,14.418,17.333
1375,12.786,17.793
1390.6,15.076,18.653
1406.3,18.495,18.461
1421.9,18.628,18.26
1437.5,16.601,17.42
1453.1,18.342,16.121
1468.8,19.461,16.013
1484.4,16.774,14.575
