FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,44.349,39.181
31.25,41.232,35.845
46.875,39.066,32.854
62.5,32.943,26.562
78.125,29.851,27.666
93.75,28.747,23.37
109.38,26.943,23.497
125,26.412,23.991
140.63,26.319,20.452
156.25,24.333,24.321
171.88,22.589,21.823
187.5,24.582,23.229
203.13,22.879,19.322
218.75,23.28,21.287
234.38,26.138,16.798
250,21.411,22.987
265.63,25.225,20.643
281.25,23.126,23.802
296.88,27.15,24.521
312.5,26.13,20.731
328.13,22.222,20.586
343.75,41.669,39.784
359.38,61.559,60.146
375,63.064,61.666
390.63,48.392,46.992
406.25,25.678,22.954
421.88,24.339,23.117
437.5,23.259,19.919
453.13,22.413,22.452
468.75,23.069,21.775
484.38,22.797,23.213
500,20.426,22.879
515.63,20.827,22.332
531.25,19.146,19.928
546.88,21.851,22.048
562.5,20.641,19.817
578.13,19.066,20.55
593.75,20.166,16.909
609.38,16.459,14.462
625,19.496,15.465
640.63,16.457,18.982
656.25,16.385,20.234
671.88,20.166,18.274
687.5,18.71,16.312
703.13,19.851,18.979
718.75,18.156,20.759
734.38,22.37,22.475
750,21.118,19.306
765.63,16.11,18.147
781.25,15.723,19.52
796.88,20.456,18.514
812.5,18.581,17.741
828.13,17.355,18.482
843.75,20.44,20.571
859.38,17.901,19.532
875,22.733,20.443
890.63,17.644,18.942
906.25,18.304,18.392
921.88,20.883,14.39
937.5,19.802,17.723
953.13,16.871,18.972
968.75,19.161,19.234
984.38,20.381,17.596
1000,19.808,19.086
1015.6,17.532,17.216
1031.3,18.154,16.172
1046.9,18.517,19.655
1062.5,18.154,19.829
1078.1,16.021,20.703
1093.8,24.125,25.904
1109.4,28.628,30.809
1125,21.675,22.824
1140.6,18.863,19.285
1156.3,18.754,18.859
1171.9,15.518,17.661
1187.5,15.411,16.637
1203.1,16.771,17.054
1218.8,18.504,18.221
1234.4,17.292,17.67
1250,19.196,19.947
1265.6,18.424,16.41
1281.3,16.326,17.65
1296.9,15.606,18.76
1312.5,17.68,15.842
1328.1,16.528,16.265
1343.8,14.793,17.317
1359.4,16.661,16.615
1375,18.066,17.406
1390.6,17.96,17.381
1406.3,17.633,17.853
1421.9,17.714,18.214
1437.5,12.772,20.195
1453.1,17.639,17.513
1468.8,19.837,20.649
1484.4,16.341,18.7
1500,15.66,16.049
1515.6,18.7,17.525
1531.3,18.56,18.548
1546.9,15.457,15.659
1562.5,14.672,14.352
1578.1,18.286,15.782
1593.8,18.376,18.256
1609.4,16.637,15.767
1625,16.296,19.601
1640.6,16.3,19.747
1656.3,16.75,17.255
1671.9,15.984,17.132
1687.5,14.179,19.788
1703.1,16.023,20.598
1718.8,16.688,19.688
1734.4,19.299,17.279
1750,18.734,15.066
1765.6,18.948,18.773
1781.3,17.165,18.288
1796.9,13.921,18.543
1812.5,16.32,20.092
1828.1,22.13,22.245
1843.8,25.932,26.034
1859.4,18.771,20.807
1875,16.778,16.952
1890.6,17.83,16.269
1906.3,17.864,17.872
1921.9,14.87,17.617
1937.5,15.17,17.337
1953.1,16.385,14.298
1968.8,15.266,17.517
1984.4,15.564,16.588
2000,22.366,18.716
2015.6,18.49,15.954
2031.3,16.711,16.919
2046.9,16.824,14.399
2062.5,15.714,15.859
2078.1,13.928,17.859
2093.8,15.955,16.939
2109.4,13.83,17.72
2125,15.018,16.018
2140.6,14.439,19.31
2156.3,16.072,17.02
2171.9,14.436,17.319
2187.5,15.15,16.165
2203.1,18.498,19.05
2218.8,19.703,19.116
2234.4,16.337,17.006
2250,16.38,20.783
2265.6,16.728,19.524
