FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,48.281,45.811
86.133,39.009,36.09
129.2,31.499,26.743
172.27,28.893,23.976
215.33,27.199,22
258.4,27.258,23.104
301.46,25.475,23.638
344.53,23.486,22.382
387.6,23.039,21.301
430.66,31.804,31.657
473.73,34.57,34.68
516.8,24.348,24.425
559.86,23.055,22.272
602.93,22.198,20.211
646,23.254,23.541
689.06,23.765,22.835
732.13,22.504,19.498
775.2,22.299,20.246
818.26,22.969,20.281
861.33,23.523,22.611
904.39,22.642,23.05
947.46,23.293,22.103
990.53,23.248,21.859
1033.6,22.797,23.204
1076.7,22.632,23.29
1119.7,22.296,22.595
1162.8,23.128,21.126
1205.9,22.207,20.97
1248.9,21.593,20.182
1292,22.875,23.465
1335.1,23.934,23.847
1378.1,29.087,26.495
1421.2,25.321,23.019
1464.3,21.333,21.087
1507.3,19.548,20.161
1550.4,19.309,22.051
1593.5,21.032,21.901
1636.5,21.721,22.633
1679.6,19.961,21.484
1722.7,18.593,20.851
1765.7,19.882,20.936
1808.8,19.42,21.255
1851.9,19.369,21.17
1894.9,20.039,22
1938,21.43,19.397
1981.1,21.369,20.959
2024.1,21.054,22.144
2067.2,20.536,20.685
2110.3,19.955,19.206
2153.3,20.856,20.159
2196.4,19.672,20.083
2239.5,19.23,18.58
2282.5,18.734,19.058
2325.6,19.547,21.576
2368.7,18.21,21.801
2411.7,19.511,20.889
2454.8,18.847,18.617
2497.9,19.057,19.85
2540.9,20.026,21.716
2584,19.696,20.805
2627.1,19.763,19.268
2670.1,19.395,17.697
2713.2,19.633,19.248
2756.3,19.518,20.49
2799.3,20.376,18.323
2842.4,20.848,19.645
2885.4,20.011,20.227
2928.5,18.825,19.525
2971.6,19.11,21.3
3014.6,20.85,23.554
3057.7,19.219,20.3
3100.8,20.021,20.675
3143.8,20.757,19.007
3186.9,19.608,20.6
3230,18.994,19.918
3273,18.536,20.981
3316.1,19.826,21.761
3359.2,20.026,21.547
3402.2,19.409,21.903
3445.3,19.357,22.261
3488.4,18.223,20.902
3531.4,16.86,20.541
3574.5,17.517,21.362
3617.6,19.486,19.491
3660.6,20.839,20.4
3703.7,19.893,18.998
3746.8,20.08,20.304
