FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,44.496,40.905
86.133,34.006,31.286
129.2,29.806,25.94
172.27,27.417,25.419
215.33,25.609,22.576
258.4,23.755,22.052
301.46,22.867,21.204
344.53,24.488,20.428
387.6,24.054,20.292
430.66,27.179,27.805
473.73,29.58,30.415
516.8,23.768,22.508
559.86,21.143,21.322
602.93,19.999,21.311
646,21.012,21.273
689.06,20.761,22.66
732.13,22.841,22.147
775.2,23.226,22.025
818.26,24.489,23.195
861.33,26.086,23.288
904.39,24.756,23.817
947.46,26.049,25.157
990.53,25.709,23.512
1033.6,22.707,24.175
1076.7,21.941,24.327
1119.7,23.658,24.192
1162.8,23.18,21.532
1205.9,20.371,21.224
1248.9,19.7,21.576
1292,18.93,22.127
1335.1,23.161,24.314
1378.1,31.257,30.587
1421.2,26.979,25.905
1464.3,20.773,20.777
1507.3,19.341,19.875
1550.4,20.279,20.772
1593.5,21.582,21.727
1636.5,21.046,21.07
1679.6,19.033,21.119
1722.7,18.097,22.181
1765.7,18.627,21.51
1808.8,18.622,19.692
1851.9,19.491,21.126
1894.9,18.732,19.581
1938,18.379,19.227
1981.1,22.867,21.09
2024.1,20.581,21.427
2067.2,19.952,20.919
2110.3,20.045,20.01
2153.3,19.879,20.02
2196.4,20.263,20.704
2239.5,19.443,21.154
2282.5,19.004,21.868
2325.6,19.863,20.255
2368.7,19.854,20.004
2411.7,20.521,20.86
2454.8,20.034,21.829
2497.9,19.331,21.715
2540.9,19.593,19.482
2584,20.229,20.059
2627.1,19.476,21.044
2670.1,18.614,22.205
2713.2,18.078,21.133
2756.3,19.46,21.461
2799.3,18.828,21.542
2842.4,19.643,21.412
2885.4,18.663,22.119
2928.5,18.68,21.333
2971.6,19.315,20.703
3014.6,21.448,20.379
3057.7,19.373,19.368
3100.8,18.459,18.751
3143.8,19.416,19.226
3186.9,20.216,19.442
3230,18.707,21.063
3273,19.58,20.051
3316.1,18.57,19.521
3359.2,18.773,20.599
3402.2,18.881,20.844
3445.3,19.002,21.59
3488.4,19.209,20.171
3531.4,19.349,19.887
3574.5,20.568,21.65
3617.6,20.869,20.279
3660.6,19.655,20.958
3703.7,19.497,20.308
3746.8,18.851,21.267
3789.8,19.727,21.961
3832.9,19.794,18.027
3876,19.862,19.731
3919,19.429,22.169
3962.1,20.576,21.974
4005.2,20.392,21.627
4048.2,18.55,20.709
4091.3,18.302,19.55
4134.4,18.676,21.211
4177.4,17.505,20.171
4220.5,17.287,19.182
4263.6,19.652,19.56
4306.6,18.626,20.593
4349.7,19.036,20.677
4392.8,20.076,20.42
4435.8,19.368,21.154
4478.9,19.327,21.585
4522,17.549,21.852
4565,19.99,22.524
4608.1,21.765,19.775
4651.2,22.647,20.915
4694.2,19.881,20.529
4737.3,19.261,19.045
4780.4,19.936,19.384
4823.4,20.563,21.076
4866.5,20.702,21.541
4909.6,19.471,21.407
4952.6,20.737,19.993
4995.7,21.597,19.541
5038.8,20.302,18.871
5081.8,19.703,21.917
5124.9,18.798,21.864
5168,18.9,20.793
5211,19.317,22.809
5254.1,19.896,22.572
5297.2,18.624,19.585
5340.2,19.225,20.562
5383.3,18.898,20.917
5426.4,19.389,19.719
5469.4,19.447,20.867
5512.5,19.285,19.556
5555.6,19.862,19.537
5598.6,20.316,21.405
5641.7,19.157,21.303
5684.8,18.007,20.213
5727.8,18.32,19.714
5770.9,18.762,20.761
5814,17.701,20.715
5857,18.506,19.585
5900.1,17.942,17.576
5943.2,19.704,20.647
5986.2,18.039,20.699
6029.3,18.123,20.705
6072.4,17.238,19.883
6115.4,18.654,19.813
6158.5,19.361,20.189
6201.6,19.647,20.974
6244.6,19.582,19.55
6287.7,19.12,20.016
6330.8,17.959,19.511
6373.8,17.881,20.666
6416.9,20.358,19.761
6460,19.51,19.361
6503,19.401,21.209
6546.1,19.35,21.735
6589.2,19.105,21.342
6632.2,19.48,20.052
6675.3,18.781,19.674
6718.4,20.775,19.851
6761.4,20.337,19.643
6804.5,19.244,19.631
6847.6,19.347,19.389
6890.6,19.414,19.56
6933.7,19.714,19.894
6976.8,19.898,20.729
7019.8,19.476,21.103
7062.9,17.922,20.796
7106,17.423,20.577
7149,20.424,20.371
7192.1,19.447,19.197
7235.2,19.358,20.033
7278.2,18.982,19.376
7321.3,17.527,18.901
7364.4,19.241,19.354
7407.4,18.137,20.08
7450.5,17.753,19.371
7493.6,19.332,20.162
7536.6,18.712,20.841
7579.7,19.214,20.125
7622.8,19.979,20.479
7665.8,18.965,19.836
7708.9,20.594,21.602
7752,18.464,22.021
7795,17.882,20.373
7838.1,19.532,19.869
7881.2,21.379,19.409
7924.2,19.524,18.805
7967.3,18.29,19.815
8010.4,17.916,21.061
8053.4,18.352,19.741
8096.5,18.616,20.44
8139.6,18.522,20.249
8182.6,17.871,19.44
8225.7,16.026,20.717
