FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,45.701,43.071
86.133,36.565,31.777
129.2,36.121,34.608
172.27,30.595,28.791
215.33,31.114,28.658
258.4,33.81,33.492
301.46,29.025,27.455
344.53,28.18,26.492
387.6,31.104,29.829
430.66,26.627,26.735
473.73,25.363,25.258
516.8,24.681,27.106
559.86,25.034,25.289
602.93,30.888,35.854
646,35.183,40.663
689.06,29.586,33.363
732.13,28.412,31.171
775.2,32.509,35.225
818.26,26.732,28.617
861.33,25.943,27.787
904.39,26.948,30.126
947.46,27.141,28.356
990.53,28.218,29.435
1033.6,25.986,28.83
1076.7,25.781,25.899
1119.7,23.688,29.812
1162.8,25.899,31.875
1205.9,24.789,29.566
1248.9,25.159,29.222
1292,25.661,28.324
1335.1,23.394,25.715
1378.1,25.851,31.565
1421.2,23.517,31.957
1464.3,22.126,25.522
1507.3,24.56,24.044
1550.4,24.073,25.178
1593.5,24.89,24.516
1636.5,23.805,23.805
1679.6,23.024,23.315
1722.7,21.566,24.136
1765.7,22.657,24.853
1808.8,24.01,26.07
1851.9,22.016,23.732
1894.9,23.212,23.533
1938,22.315,24.873
1981.1,22.49,25.283
2024.1,21.863,24.336
2067.2,21.253,22.944
2110.3,22.057,22.793
2153.3,21.301,22.4
2196.4,20.507,23.789
2239.5,20.452,22.398
2282.5,19.822,23.394
2325.6,21.722,22.279
2368.7,22.876,21.084
2411.7,22.093,23.422
2454.8,21.753,22.21
2497.9,20.01,22.226
2540.9,21.444,22.854
2584,21.705,22.76
2627.1,21.559,20.87
2670.1,23.554,23.992
2713.2,22.156,23.14
2756.3,22.558,22.397
2799.3,23.521,22.799
2842.4,20.643,20.996
2885.4,18.893,22.361
2928.5,19.477,19.978
2971.6,21.444,24.336
3014.6,21.066,22.352
3057.7,19.961,21.976
3100.8,22.889,22.347
3143.8,21.771,21.65
3186.9,21.18,23.355
3230,20.25,21.781
3273,21.056,22.319
3316.1,21.251,19.524
3359.2,20.765,23.135
3402.2,21.084,22.303
3445.3,21.667,21.142
3488.4,20.61,21.4
3531.4,21.937,21.291
3574.5,21.534,21.486
3617.6,22.311,22.004
3660.6,21.765,21.894
3703.7,22.04,21.907
3746.8,20.994,21.422
3789.8,21.733,22.548
3832.9,22.774,21.114
3876,21.059,24.025
3919,20.631,23.002
3962.1,23.064,22.957
4005.2,22.781,22.848
4048.2,20.186,21.958
4091.3,21.858,21.87
4134.4,19.37,21.627
4177.4,19.781,21.384
4220.5,21.096,22.254
4263.6,20.746,22.741
4306.6,22.218,22.281
4349.7,21.772,22.012
4392.8,21.248,22.39
4435.8,21.871,22.687
4478.9,21.03,23.6
4522,21.559,21.949
4565,20.303,22.935
4608.1,22.189,23.297
4651.2,22.023,22.223
4694.2,21.172,23.805
4737.3,21.884,22.886
4780.4,20.536,21.703
4823.4,22.1,21.216
4866.5,21.442,23.601
4909.6,21.769,23.468
4952.6,21.692,25.197
4995.7,20.815,23.793
5038.8,22.367,22.058
5081.8,21.972,22.796
5124.9,22.06,21.604
5168,20.57,23.563
5211,21.227,22.354
5254.1,21.492,22.384
5297.2,21.303,23.401
5340.2,22.301,22.169
5383.3,21.998,22.953
5426.4,22.13,22.381
5469.4,24.695,22.471
5512.5,23.311,23.663
5555.6,22.8,24.621
